Organisation Name,Annual Revenue,Assigned To,Created Time,Start Financial Year,Commitment Number of Jobs,Registration Status,BBBEE ALign,Demand Shaping Package,Demand Shaping Start Date,Uncontactable Company,CRM Status,M & E Payment Made,Youth Uploaded,Phones Delivered,Extra Youth
EPIC BUSINESS SERVICES (PTY)LTD,10000,YES Administrator,01-08-2019 16:44:34,November,1,Awaiting Payment,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
PERFECTION TOOL AND DIE ENGINEERING 2000 CC,19028955,YES Administrator,01-08-2019 21:31:15,September,4,Registered,yes,Small Biz 1700,23-08-2019,no,On - Track August 2019,yes,NA,NA,0
KINETICSKUNK IT SOLUTIONS CC,0,YES Administrator,02-08-2019 07:12:10,February,0,Calculating for Non-BBBEE,no,NA,NA,no,NA,no,NA,NA,0
SmitJones&PrattAttorneys,42956152,YES Administrator,02-08-2019 10:11:32,February,5,Registered,yes,In-House 5000,06-01-2020,no,On - Track August 2019,no,NA,NA,0
MPETE BUSINESS CONCEPTS (PTY)LTD,0,YES Administrator,02-08-2019 10:37:18,February,0,Calculating for Non-BBBEE,no,NA,NA,no,Potential Host,no,NA,NA,0
FRAGOMEN AFRICA (PTY)LTD,0,YES Administrator,02-08-2019 14:17:28,December,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
SHONAQUIP (PTY)LTD,0,YES Administrator,03-08-2019 21:11:12,March,0,Calculating for Non-BBBEE,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
C4U GROUP (PTY)LTD,0,YES Administrator,05-08-2019 11:14:24,February,0,Calculating for Non-BBBEE,no,NA,NA,no,Potential Host,no,NA,NA,0
STRATMED CC,0,YES Administrator,05-08-2019 11:20:45,February,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
HASHTAG WORKS GROUP (PTY)LTD,104892034,YES Administrator,05-08-2019 11:58:07,February,16,Registered,yes,In-House Assist 7000,01-07-2019,no,On - Track August 2019,yes,NA,NA,0
ADVANCE GROUP HOLDINGS (PTY)LTD,0,YES Administrator,05-08-2019 12:09:15,February,0,Initial Signup,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
PERFECTION TOOL AND DIE (PTY)LTD,26379810,YES Administrator,05-08-2019 14:34:29,February,4,Registered,yes,Small Biz 1700,23-08-2019,no,On - Track August 2019,yes,NA,NA,0
NEWSHELF 1291 (PTY)LTD,0,YES Administrator,05-08-2019 23:07:45,December,0,Calculating for BBBEE,yes,NA,NA,no,Potential Host,no,NA,NA,0
NTSHUXEKO BUSINESS ENTERPRISE (PTY)LTD,0,YES Administrator,06-08-2019 09:32:07,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
KOBAMELONG TRADING AND PROJECTS (PTY)LTD,0,YES Administrator,06-08-2019 11:18:02,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
XCELERATE VERIFICATION AGENCY (PTY)LTD,0,YES Administrator,06-08-2019 11:59:05,February,0,Calculating for Non-BBBEE,no,NA,NA,no,NA,no,NA,NA,0
EDUFEARN (PTY)LTD,0,YES Administrator,06-08-2019 13:20:37,February,0,Calculating for BBBEE,yes,NA,NA,no,Potential Host,no,NA,NA,0
M CRE 8 (PTY)LTD,100000,YES Administrator,06-08-2019 15:36:08,March,100,Awaiting Pledge,no,NA,NA,no,Potential Host,no,NA,NA,0
REFLEX SOLUTIONS (PTY)LTD,169691396,YES Administrator,06-08-2019 18:48:15,June,9,Registered,yes,In-House 5000,02-09-2019,no,On - Track August 2019,no,NA,NA,0
LEEMA INDUSTRIES (PTY)LTD,1000000,YES Administrator,06-08-2019 19:51:49,February,8,Awaiting Pledge,yes,NA,NA,no,Potential Host,no,NA,NA,0
CSIR,0,Marc Ashton,07-08-2019 09:01:47,March,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
LENOVO SOUTH AFRICA (PTY)LTD,0,YES Administrator,07-08-2019 12:48:34,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
DIGITAL PLANET (PTY)LTD,569954646,YES Administrator,07-08-2019 15:03:14,February,23,Awaiting Pledge and Payment,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
ICONTACT (PTY)LTD,23000000,YES Administrator,07-08-2019 20:52:00,February,14,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
ADB SAFEGATE SOUTH AFRICA (PTY)LTD,78726517,YES Administrator,08-08-2019 09:00:16,December,14,Registered,yes,NA,01-08-2019,no,NA,no,NA,NA,0
ENDEL SOUTH AFRICA (PTY)LTD,0,YES Administrator,08-08-2019 16:38:40,December,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
SA BUSINESS SCHOOL (PTY)LTD,26000000,YES Administrator,12-08-2019 08:25:26,February,2,Awaiting Pledge and Payment,yes,NA,NA,no,NA,no,NA,NA,0
ITC BUSINESS ADMINISTRATORS (PTY)LTD,0,YES Administrator,12-08-2019 08:56:18,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
ITALTILE CERAMICS (PTY)LTD,0,YES Administrator,12-08-2019 16:25:01,June,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
K2019080498 SOUTH AFRICA (PTY)LTD,0,YES Administrator,12-08-2019 19:42:17,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
PROGRESSION OPTIONS (PTY)LTD,0,YES Administrator,13-08-2019 11:39:29,February,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
Mazars,0,YES Administrator,13-08-2019 11:47:59,February,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
EBOR AUTOMOTIVE SYSTEMS (PTY)LTD,143108000,YES Administrator,14-08-2019 12:20:44,February,8,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
WATER CARE MINING (PTY)LTD,209000000,YES Administrator,14-08-2019 12:47:10,February,10,Registered,yes,NA,02-09-2019,no,On - Track August 2019,no,NA,NA,0
SIOC CDT INVESTMENT HOLDINGS RF (PTY)LTD,0,YES Administrator,15-08-2019 17:07:04,December,0,Adding Business Details,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
MEDCOR CONSULTING SERVICES (PTY)LTD,5610785,YES Administrator,16-08-2019 10:35:20,February,2,Registered,no,Small Biz 1700,30-08-2019,no,NA,yes,NA,NA,0
FIGELITY SECURITY GUARDS AND PROJECTS (PTY)LTD,500000,YES Administrator,16-08-2019 11:30:26,January,500,Awaiting Pledge,no,NA,NA,no,Potential Host,no,NA,NA,0
ORIENTAL RUBBER INDUSTRIES SA (PTY)LTD,167739875,YES Administrator,16-08-2019 14:38:17,March,18,Awaiting Pledge and Payment,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
ASCENTIOS GROWTH PARTNERS (PTY)LTD,20000000,YES Administrator,17-08-2019 21:50:05,February,2,Awaiting Pledge and Payment,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
WEFINDTALENT (PTY)LTD,77000000,YES Administrator,19-08-2019 08:35:06,February,7,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
VISION VIEW PRODUCTION CC,0,YES Administrator,19-08-2019 10:08:14,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
K2018568645 SOUTH AFRICA (PTY)LTD,0,YES Administrator,19-08-2019 10:12:22,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
OPTIMAL SUPPLYCHAIN SERVICES (PTY)LTD,35298903,YES Administrator,19-08-2019 12:19:17,August,4,Registered,yes,Small Biz 1700,30-08-2019,no,On - Track August 2019,yes,NA,NA,0
SARAFIN SEARCH,1000000,YES Administrator,19-08-2019 13:08:21,February,2,Registered,yes,Small Biz 1700,12-08-2019,no,On - Track August 2019,no,NA,NA,0
ECHOTEL (PTY)LTD,340000000,Marc Ashton,19-08-2019 13:24:28,February,12,Awaiting Pledge and Payment,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
SCAW SOUTH AFRICA (PTY)LTD,0,Marc Ashton,20-08-2019 09:01:51,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
RAYTEN ENGINEERING SOLUTIONS CC,0,YES Administrator,20-08-2019 11:37:14,February,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
BEKA SCHREDER (PTY)LTD,600000000,YES Administrator,20-08-2019 12:56:46,December,15,Registered,yes,In-House Assist 7000,01-10-2019,no,On - Track August 2019,yes,NA,NA,0
SKY MED (PTY)LTD,3244289,YES Administrator,20-08-2019 13:31:34,December,1,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
MA AUTOMOTIVE TOOL AND DIE (PTY)LTD,0,YES Administrator,20-08-2019 13:52:59,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
BELGOTEX FLOORCOVERINGS (PTY)LTD,0,Marc Ashton,20-08-2019 17:22:20,December,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
EDGE LINE ENGINEERING (PTY)LTD,118000000,YES Administrator,21-08-2019 09:40:59,August,8,Registered,yes,In-House 5000,01-08-2019,no,On - Track August 2019,yes,NA,NA,0
ADEPT GROUP (PTY)LTD,83076280,YES Administrator,21-08-2019 11:35:35,December,7,Awaiting Payment,yes,NA,NA,no,NA,no,NA,NA,0
NEW AFRICA PETROLEUM HOLDINGS (PTY)LTD,2183700000,YES Administrator,21-08-2019 12:21:22,August,40,Awaiting Pledge and Payment,yes,NA,NA,no,Archived,no,NA,NA,0
TSHIMEDZWA CELLULAR (PTY)LTD,5940974,YES Administrator,21-08-2019 12:29:48,December,1,Awaiting Pledge,yes,NA,NA,no,NA,no,NA,NA,0
AFROKAANS (PTY)LTD,4542874,YES Administrator,21-08-2019 16:33:40,February,1,Registered,yes,Small Biz 1700,01-10-2019,no,On - Track August 2019,no,NA,NA,0
EDGEENABLED (PTY)LTD,800000,YES Administrator,22-08-2019 06:31:56,September,1,Registered,yes,Small Biz 1700,23-09-2019,no,On - Track August 2019,yes,NA,NA,0
EDGEXEC (PTY)LTD,20000000,YES Administrator,22-08-2019 06:43:22,September,2,Registered,yes,In-House 5000,30-09-2019,no,NA,yes,NA,NA,0
MooneyFordAttorneys,0,YES Administrator,22-08-2019 10:41:28,February,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
EDGE GLOBAL TALENT CONSULTANTS (PTY)LTD,12000000,YES Administrator,22-08-2019 11:40:31,September,1,Registered,yes,Small Biz 1700,30-09-2019,no,On - Track August 2019,yes,NA,NA,0
ROSHEL INVESTMENTS (PTY)LTD,700000000,YES Administrator,23-08-2019 09:56:36,February,-250,Awaiting Pledge and Payment,no,NA,NA,no,NA,no,NA,NA,250
VAXISAT INVESTMENT (PTY)LTD,0,YES Administrator,23-08-2019 11:07:10,June,0,Awaiting Pledge,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
KNR FLATROCK (PTY)LTD,74318024,YES Administrator,23-08-2019 12:27:26,June,9,Registered,yes,In-House 5000,30-08-2019,no,On - Track August 2019,yes,NA,NA,0
BOWMAN GILFILLAN INC,0,YES Administrator,23-08-2019 16:03:57,February,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
SOUND LOUDER (PTY)LTD,0,YES Administrator,25-08-2019 21:57:04,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
THE F X GROUP (PTY)LTD,450000000,Marc Ashton,26-08-2019 09:16:45,February,30,Awaiting Pledge and Payment,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
IMVULA FINANCIAL SERVICES (PTY)LTD,0,YES Administrator,26-08-2019 10:35:08,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
KAP AUTOMOTIVE (PTY)LTD,0,Marc Ashton,26-08-2019 13:58:36,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
FRONERI SOUTH AFRICA (PTY)LTD,0,Marc Ashton,26-08-2019 16:05:16,December,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
BIG O TRADING 1300 (PTY)LTD,76000000,YES Administrator,26-08-2019 16:21:50,February,14,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
TENNECO EMISSION CONTROL (PTY)LTD,1426000000,Marc Ashton,27-08-2019 09:06:43,December,52,Registered,yes,In-House 5000,02-09-2019,no,On - Track August 2019,yes,NA,NA,0
SAB AND T CHARTERED ACCOUNTANTS INC,248581086,YES Administrator,27-08-2019 11:31:11,February,5,Registered,no,In-House Assist 7000,01-09-2019,no,On - Track August 2019,no,NA,NA,0
PARETO LTD,0,Marc Ashton,27-08-2019 22:03:46,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
TRACTEBEL ENGINEERING SOUTH AFRICA (PTY)LTD,1000000,YES Administrator,28-08-2019 10:59:02,December,1,Registered,yes,NA,01-10-2019,no,NA,no,NA,NA,0
GEA AFRICA (PTY)LTD,0,YES Administrator,28-08-2019 15:08:05,December,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
HATFIELD HOLDINGS (PTY)LTD,4982943317,YES Administrator,29-08-2019 11:25:18,February,15,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
ADREACH (PTY)LTD,201000000,YES Administrator,29-08-2019 20:52:08,August,20,Registered,yes,In-House 5000,30-08-2019,no,On - Track August 2019,yes,NA,NA,0
THE GRC CUBE (PTY)LTD,0,YES Administrator,30-08-2019 08:43:54,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
AFRICAN MOBILITY SOLUTIONS (PTY)LTD,0,YES Administrator,02-09-2019 09:37:51,June,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
ADIENT SOUTH AFRICA (PTY)LTD,0,YES Administrator,02-09-2019 09:51:28,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
Barloworld Corporate Office,1000000,Marc Ashton,02-09-2019 11:34:34,September,14,Awaiting Pledge,yes,NA,NA,no,NA,no,NA,NA,0
MOVUNDLELA CONSULTING (PTY)LTD,7478617,YES Administrator,02-09-2019 11:52:25,February,1,Registered,yes,NA,NA,no,NA,no,NA,NA,0
EAZI ACCESS RENTAL (PTY)LTD,714919606,Itumeleng Lentsoane,03-09-2019 08:49:17,February,15,Awaiting Pledge and Payment,yes,NA,NA,no,NA,no,NA,NA,0
THE OMG (PTY)LTD,0,YES Administrator,03-09-2019 10:38:37,March,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
Rent a Car a Division of Barloworld SA Pty Ltd t/a Avis Rent a Car,3010464199,Marc Ashton,03-09-2019 14:13:23,September,64,Awaiting Pledge and Payment,yes,NA,NA,no,NA,no,NA,NA,0
YAKANAKA DESIGN SA (PTY)LTD,7800000,YES Administrator,04-09-2019 09:25:31,March,1,Awaiting Pledge,yes,NA,NA,no,NA,no,NA,NA,0
ATMEI CONSTRUCTION (PTY)LTD,0,YES Administrator,04-09-2019 14:47:01,February,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
DecusatioTwo,0,YES Administrator,04-09-2019 15:39:02,February,0,Calculating for Non-BBBEE,no,NA,NA,no,NA,no,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Field Names,SUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organisations Commitment Number of Jobs,34109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
